content,source,rating,date,sentiment_label,sentiment_score,category,priority_score
good 👍,google_play,5,2026-02-23 15:07:34,positive,0.4404,Other,0.0
good 😊,google_play,4,2026-02-22 15:07:33,positive,0.4404,Other,0.0
good,google_play,1,2026-02-21 15:07:32,positive,0.4404,Other,0.0
good,google_play,1,2026-02-20 15:07:32,positive,0.4404,Other,0.0
ok,google_play,3,2026-02-19 15:07:28,positive,0.296,Other,0.0
good,google_play,5,2026-02-18 15:07:28,positive,0.4404,Other,0.0
good 😊 and fast,google_play,5,2026-02-17 15:07:24,positive,0.4404,Performance,0.0
good work 👍,google_play,5,2026-02-23 15:07:11,positive,0.4404,Other,0.0
nice ✨️ ✨️,google_play,5,2026-02-22 15:07:10,positive,0.4215,Other,0.0
Awesome 🌟🌟🌟🌟🌟,google_play,5,2026-02-21 15:06:56,positive,0.6249,Other,0.0
gud,google_play,5,2026-02-20 15:06:45,neutral,0.0,Other,0.0
Good for communication,google_play,5,2026-02-19 15:06:23,positive,0.4404,Other,0.0
nice 123,google_play,5,2026-02-18 15:06:16,positive,0.4215,Other,0.0
what a Nice app.,google_play,5,2026-02-17 15:06:12,positive,0.4215,Other,0.0
very nice,google_play,5,2026-02-23 15:06:04,positive,0.4754,Other,0.0
it works,google_play,4,2026-02-22 15:05:54,neutral,0.0,Other,0.0
goo luck,google_play,5,2026-02-21 15:05:52,positive,0.4588,Other,0.0
very nice app.,google_play,5,2026-02-20 15:05:33,positive,0.4754,Other,0.0
Very good app,google_play,5,2026-02-19 15:05:28,positive,0.4927,Other,0.0
superb,google_play,5,2026-02-18 15:05:21,positive,0.6249,Other,0.0
worst app,google_play,1,2026-02-17 15:05:18,negative,-0.6249,Other,2822.33
Good 👍,google_play,5,2026-02-23 15:05:15,positive,0.4404,Other,0.0
good,google_play,4,2026-02-22 15:05:11,positive,0.4404,Other,0.0
very bad experience 😕,google_play,1,2026-02-21 15:05:02,negative,-0.5849,Other,2826.11
a good app,google_play,5,2026-02-20 15:04:45,positive,0.4404,Other,0.0
great,google_play,5,2026-02-19 15:04:42,positive,0.6249,Other,0.0
my Whatsapp after the latest update has been crashing non stop and I can't even use my Whatsapp again for unknown reason please fix this,google_play,2,2026-02-18 15:04:22,neutral,0.0258,Bug,0.0
🥰suma urang 🥰,google_play,5,2026-02-17 15:04:11,neutral,0.0,Other,0.0
when ever I want to use my phone number on this what's app it says your unable to use this app why is that so I can't tell the way is given me stressed and miss all my friends,google_play,5,2026-02-23 15:03:53,positive,0.1779,Feature Request,0.0
nice All yours features,google_play,5,2026-02-22 15:03:42,positive,0.4215,Feature Request,0.0
Alhamdulillahi,google_play,5,2026-02-21 15:03:39,neutral,0.0,Other,0.0
good,google_play,5,2026-02-20 15:03:36,positive,0.4404,Other,0.0
good👍😊,google_play,5,2026-02-19 15:03:33,neutral,0.0,Other,0.0
nice,google_play,5,2026-02-18 15:03:26,positive,0.4215,Other,0.0
good,google_play,5,2026-02-17 15:03:17,positive,0.4404,Other,0.0
I'm so so comfortable with your service and keep what you do best for everyone in the whole 🌎world,google_play,5,2026-02-23 15:03:15,positive,0.8686,Other,0.0
Good,google_play,5,2026-02-22 15:03:06,positive,0.4404,Other,0.0
great experience,google_play,5,2026-02-21 15:02:59,positive,0.6249,Other,0.0
good,google_play,5,2026-02-20 15:02:53,positive,0.4404,Other,0.0
very nice and it helps me to chat with ppl freely,google_play,5,2026-02-19 15:02:49,positive,0.8221,Other,0.0
good,google_play,5,2026-02-18 15:02:45,positive,0.4404,Other,0.0
I love it,google_play,1,2026-02-17 15:02:40,positive,0.6369,Other,0.0
Excellent 👍,google_play,5,2026-02-23 15:02:34,positive,0.5719,Other,0.0
So far my experience using this app has been smooth throughout the years tbh,google_play,4,2026-02-22 15:02:28,neutral,0.0,Other,0.0
I love this it's so good,google_play,5,2026-02-21 15:02:18,positive,0.8377,Other,0.0
mast hai,google_play,5,2026-02-20 15:02:10,neutral,0.0,Other,0.0
good 😊,google_play,5,2026-02-19 15:02:05,positive,0.4404,Other,0.0
Nice,google_play,5,2026-02-18 15:01:52,positive,0.4215,Other,0.0
"WhatsApp is international App link people in many Countries at low cost WhatsApp helping people to save money like airtime, like traveling or transport, save time, easy to transfer documents, voice, enjoyment , information related about job , source of job etc. WhatsApp is All in our life 🥰",google_play,5,2026-02-17 15:01:41,positive,0.9517,Other,0.0
